seq,name/first,name/last,age,street,city,state,dollar,pick
40,Julian,Simon,38,Ikfi Pass,Aliwulce,NV,$4192.63,GREEN
41,Gary,Mendoza,48,Vusel Drive,Fukfubel,WI,$8100.68,BLUE
42,Beulah,Goodwin,60,Wasej Square,Ebiduwo,FL,$8781.95,GREEN
43,Alvin,Jensen,50,Locfo Lane,Kisibbol,DC,$4654.83,YELLOW
44,Alexander,Guerrero,59,Litir Trail,Vabgispa,SD,$9404.14,RED
45,Trevor,Patterson,48,Zuretu Park,Nofzime,CT,$1397.71,WHITE
46,Jose,Vasquez,30,Ecrub Extension,Jukijco,MO,$8441.21,GREEN
47,Dominic,Ryan,43,Letob Court,Ozoetiabo,KS,$5661.53,WHITE
48,Blake,Bell,58,Wanar Plaza,Rocihziz,CA,$8663.96,RED
49,Barry,Jordan,53,Zeksat Way,Eneapeb,ND,$7550.52,RED
50,Rosie,Sharp,56,Vuko Point,Nosomoun,NH,$2695.12,WHITE
51,Jane,Palmer,31,Bujci Lane,Jasotif,MN,$5563.62,YELLOW
52,Louise,Evans,63,Nifalu Highway,Vulivnez,KY,$9184.24,GREEN
53,Adeline,Zimmerman,35,Egzi Avenue,Bahogef,NM,$3123.29,GREEN
54,Chester,Rodriguez,46,Vaot Mill,Jahepsar,NM,$9719.35,BLUE
55,Nancy,Perry,47,Cinah Pass,Hiwfonhe,ME,$2065.54,YELLOW
56,Violet,Murphy,31,Uruze Way,Ambeguf,GA,$6327.77,RED
57,Landon,Ramirez,47,Kibek Circle,Poemeis,MT,$7320.45,YELLOW
58,Lenora,Rose,53,Hiake Park,Huwiva,RI,$7180.33,GREEN
59,Isabella,Patton,27,Vedaj Pike,Epvazut,VA,$5678.85,WHITE
60,Brian,Hubbard,21,Kepa Center,Kasvizla,OR,$7110.65,GREEN
61,Phillip,Davidson,64,Hobfa Heights,Pilasif,CT,$5851.55,WHITE
62,Sallie,Richards,42,Lekaz Road,Owanohoj,AL,$1846.77,GREEN
63,Ian,Love,50,Inka Street,Evarilob,AK,$847.07,WHITE
64,Katie,Delgado,48,Voffub Park,Ufetilkuz,MD,$1631.78,BLUE
65,Louis,Lane,51,Cafada Road,Esijoiva,ND,$7404.20,YELLOW
66,Ruth,Rogers,44,Ojumis Street,Usupopir,WV,$7710.12,BLUE
67,Caleb,Knight,58,Pewav Loop,Vinahma,MS,$3324.72,RED
68,Joshua,Cummings,59,Gunaf Circle,Zabwekca,IL,$5034.18,BLUE
69,Millie,Nguyen,49,Nerwoj Key,Fulvaki,NM,$234.20,YELLOW
70,Philip,Daniel,55,Vasel Center,Caavalev,SD,$200.27,RED
71,Addie,Elliott,48,Ente Avenue,Otjasu,UT,$9022.41,RED
72,Lois,Schwartz,27,Fusbu Park,Disosoap,IL,$7869.65,YELLOW
73,Jared,Maxwell,64,Holi Road,Tokfacu,WV,$3453.05,GREEN
74,Hattie,Cohen,30,Gihemi Terrace,Hujafmej,ID,$7534.48,BLUE
75,Craig,Ramos,40,Hetwi Way,Urnujaz,SD,$6371.92,GREEN
76,William,Summers,54,Dekzim Way,Laopehi,NH,$4754.81,RED
77,Hattie,Huff,47,Ewmuj Park,Rosolij,OR,$8081.75,GREEN
78,Maggie,Ray,43,Gifam Boulevard,Gogewvok,MN,$756.51,GREEN
79,Alberta,Sanders,53,Obwir Boulevard,Dojwuowi,AK,$8084.81,GREEN
80,Clarence,Horton,35,Gumak View,Toljerul,MT,$919.23,WHITE
81,Addie,Lamb,22,Hiti Terrace,Tizjuwet,NJ,$1053.04,RED
82,Charles,King,26,Leleg Avenue,Pelukhob,CT,$341.88,YELLOW
83,Inez,Payne,29,Ohotam Key,Cagolug,TX,$5519.99,GREEN
84,Benjamin,Carter,47,Guus Key,Sadijsof,SC,$3619.19,GREEN
85,Clifford,Morales,35,Weam Grove,Desefloh,DC,$228.95,GREEN
86,Eugene,Ward,46,Zaco Key,Ojfita,IL,$9186.63,GREEN
87,Samuel,Baldwin,65,Doaka Boulevard,Habulnef,MT,$1849.98,WHITE
88,Marie,Barnes,38,Cieji Trail,Hivezji,MI,$4954.30,BLUE
89,Eula,Armstrong,18,Hozbu Grove,Nilupomik,MD,$9710.35,RED
90,Derek,Murray,43,Bizew Circle,Tefuksu,CO,$4594.94,YELLOW
91,Lottie,Wheeler,18,Cacom Center,Diomoavu,MT,$124.18,YELLOW
92,Jeanette,Parsons,45,Nufat Plaza,Bipubju,NE,$3520.91,BLUE
93,Arthur,James,52,Voulo River,Tadgatwa,NV,$9425.52,GREEN
94,Eliza,Obrien,28,Uhgu Highway,Wovfihof,FL,$9629.67,WHITE
95,Lloyd,Lucas,18,Piju Key,Jotsitru,NV,$7099.56,GREEN
96,William,Briggs,47,Sulon Park,Ofvoli,SC,$6339.17,WHITE
97,Hilda,Ballard,21,Hekpe Glen,Cavharwu,MA,$8793.59,BLUE
98,Sue,Powers,40,Paah Street,Tulajum,AK,$7020.26,YELLOW
99,Vernon,Nash,58,Wusag Manor,Eghecar,PA,$2623.47,WHITE
100,Betty,Lucas,38,Bupfag Parkway,Fevoheto,WA,$5335.21,BLUE
